post_time,median
2018-05-20,2.0
2018-05-21,4.0
2018-05-22,2.0
2018-05-23,7.0
2018-05-24,3.0
2018-05-25,3.0
2018-05-26,1.0
2018-05-27,2.0
2018-05-28,2.5
2018-05-29,4.0
2018-05-30,9.0
2018-05-31,5.0
2018-06-01,1.5
2018-06-02,4.5
2018-06-03,2.0
2018-06-04,5.0
2018-06-05,1.5
2018-06-06,3.0
2018-06-07,3.0
2018-06-08,2.0
2018-06-09,3.0
2018-06-10,1.0
2018-06-11,6.0
2018-06-12,3.0
2018-06-13,2.0
2018-06-14,2.5
2018-06-15,3.5
2018-06-16,3.0
2018-06-17,3.0
2018-06-18,3.0
2018-06-19,6.0
2018-06-20,4.0
2018-06-21,2.0
2018-06-22,2.0
2018-06-23,3.0
2018-06-24,4.5
2018-06-25,2.5
2018-06-26,3.0
2018-06-27,4.0
2018-06-28,2.0
2018-06-29,2.0
2018-06-30,1.5
2018-07-01,1.5
2018-07-02,5.0
2018-07-03,4.0
2018-07-04,5.0
2018-07-05,4.0
2018-07-06,3.0
2018-07-07,4.0
2018-07-08,3.0
2018-07-09,3.0
2018-07-10,3.5
2018-07-11,2.0
2018-07-12,1.0
2018-07-13,4.0
2018-07-14,1.5
2018-07-15,1.0
2018-07-16,3.0
2018-07-17,5.0
2018-07-18,4.0
2018-07-19,2.0
2018-07-20,2.0
2018-07-21,3.0
2018-07-22,4.0
2018-07-23,3.0
2018-07-24,4.5
2018-07-25,3.0
2018-07-26,1.0
2018-07-27,3.0
2018-07-28,2.0
2018-07-29,2.0
2018-07-30,3.0
2018-07-31,2.0
2018-08-01,2.0
2018-08-02,2.5
2018-08-03,1.5
2018-08-04,3.0
2018-08-05,2.5
2018-08-06,2.5
2018-08-07,2.0
2018-08-08,2.0
2018-08-09,3.0
2018-08-10,4.0
2018-08-11,2.0
2018-08-12,1.0
2018-08-13,1.0
2018-08-14,3.0
2018-08-15,3.0
2018-08-16,3.0
2018-08-17,2.0
2018-08-18,2.5
2018-08-19,3.0
2018-08-20,3.5
2018-08-21,3.0
2018-08-22,3.0
2018-08-23,2.0
2018-08-24,2.0
2018-08-25,2.5
2018-08-26,2.0
2018-08-27,1.5
2018-08-28,4.0
2018-08-29,2.0
2018-08-30,4.5
2018-08-31,4.5
2018-09-01,3.0
2018-09-02,3.0
2018-09-03,2.0
2018-09-04,2.5
2018-09-05,2.0
2018-09-06,7.0
2018-09-07,2.0
2018-09-08,2.0
2018-09-09,3.5
2018-09-10,2.0
2018-09-11,5.0
2018-09-12,3.0
2018-09-13,4.0
2018-09-14,4.0
2018-09-15,2.0
2018-09-16,1.0
2018-09-17,2.0
2018-09-18,3.0
2018-09-19,2.0
2018-09-20,3.5
2018-09-21,2.0
2018-09-22,4.0
2018-09-23,2.0
2018-09-24,2.0
2018-09-25,3.0
2018-09-26,3.0
